44 |2025-06-07 10:38:10.2624 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnPost |Calling AddEmployee OnPost method
44 |2025-06-07 10:38:10.3273 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updating employee from service layer
44 |2025-06-07 10:38:10.3273 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetching record with matching email id
44 |2025-06-07 10:38:10.4318 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetByEmail |Fetched record with matching email id
44 |2025-06-07 10:38:10.4318 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.Update |updated employee from service layer
44 |2025-06-07 10:38:10.5459 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnPost |Called EducationDeatils OnPost method
43 |2025-06-07 10:38:13.5631 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
43 |2025-06-07 10:38:13.5631 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
43 |2025-06-07 10:38:13.5728 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
43 |2025-06-07 10:38:13.5728 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
41 |2025-06-07 10:38:26.0004 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
9 |2025-06-07 10:38:55.2969 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
9 |2025-06-07 10:38:55.3132 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
10 |2025-06-07 10:38:55.3277 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
10 |2025-06-07 10:38:55.3277 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
10 |2025-06-07 10:38:55.3277 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
