35 |2025-06-09 09:38:25.3419 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
35 |2025-06-09 09:38:25.3419 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
35 |2025-06-09 09:38:25.4153 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
35 |2025-06-09 09:38:25.4153 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
38 |2025-06-09 09:38:29.8120 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
17 |2025-06-09 09:40:10.2922 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
17 |2025-06-09 09:40:10.3080 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
9 |2025-06-09 09:40:10.3236 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
9 |2025-06-09 09:40:10.3236 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
9 |2025-06-09 09:40:10.3236 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
9 |2025-06-09 09:40:10.4337 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
9 |2025-06-09 09:40:10.4337 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
9 |2025-06-09 09:40:10.4337 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-09 09:40:13.8858 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
7 |2025-06-09 09:40:13.8858 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
7 |2025-06-09 09:40:14.0022 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
7 |2025-06-09 09:40:14.0746 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
7 |2025-06-09 09:41:07.9885 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
7 |2025-06-09 09:41:07.9885 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
7 |2025-06-09 09:41:08.0983 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
7 |2025-06-09 09:41:08.0983 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
7 |2025-06-09 09:43:34.6949 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
10 |2025-06-09 09:43:44.6193 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
10 |2025-06-09 09:43:44.6193 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
5 |2025-06-09 09:43:44.6337 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
5 |2025-06-09 09:43:44.6337 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
5 |2025-06-09 09:43:44.6337 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
5 |2025-06-09 09:43:44.7406 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
5 |2025-06-09 09:43:44.7406 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
5 |2025-06-09 09:43:44.7406 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
9 |2025-06-09 09:43:48.2771 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
9 |2025-06-09 09:43:48.2771 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
9 |2025-06-09 09:43:48.3894 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
9 |2025-06-09 09:43:48.4580 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
5 |2025-06-09 09:44:08.1566 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
5 |2025-06-09 09:44:08.1582 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
5 |2025-06-09 09:44:08.2672 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
5 |2025-06-09 09:44:08.2687 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
33 |2025-06-09 10:04:20.1688 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
18 |2025-06-09 10:05:20.0620 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
18 |2025-06-09 10:05:20.0790 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
10 |2025-06-09 10:05:20.0932 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
10 |2025-06-09 10:05:20.0932 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
10 |2025-06-09 10:05:20.0952 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
10 |2025-06-09 10:05:20.2118 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
10 |2025-06-09 10:05:20.2118 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
10 |2025-06-09 10:05:20.2118 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |List page OnGet method completed
7 |2025-06-09 10:05:24.0675 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Calling OnGetEducationDetails method
7 |2025-06-09 10:05:24.0675 |DEBUG |Data Layer |DataLayer.EmployeeDB.EducationDetails |Fetching education column data from DB
7 |2025-06-09 10:05:24.1900 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Deserializing Json string  Data to Object type
7 |2025-06-09 10:05:24.2743 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.EducationModel.OnGet |Completed OnGetEducationDetails method
3 |2025-06-09 10:08:24.6231 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LogoutModel.OnGet |Logout.cshtml.cs onGet method executing
5 |2025-06-09 10:08:49.0860 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee name as session data
5 |2025-06-09 10:08:49.1017 |DEBUG |LearningPhase2 |LearningPhase2.Pages.Account.LoginModel.OnPost |Storing employee id as session data
9 |2025-06-09 10:08:49.1162 |DEBUG |LearningPhase2 |LearningPhase2.Pages.EmployeeNTier.ListModel.OnGet |Calling list OnGet method
9 |2025-06-09 10:08:49.1162 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetching all records
9 |2025-06-09 10:08:49.1162 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching record from DB
9 |2025-06-09 10:08:49.2222 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched records from DB count - 13
9 |2025-06-09 10:08:49.2222 |DEBUG |Service Layer |SeviceLayer.EmployeeManager.GetAll |Fetched all records
